"endorses"	"denies"
0.0	0.0
0.1798561151079137	0.0
0.3597122302158274	0.0
6.83453237410072	0.539568345323741
12.949640287769784	1.079136690647482
17.805755395683455	1.618705035971223
23.201438848920862	1.9784172661870503
30.755395683453234	2.338129496402878
36.8705035971223	3.0575539568345325
43.3453237410072	3.776978417266187
50.35971223021583	4.496402877697841
55.2158273381295	5.215827338129497
59.172661870503596	5.575539568345324
66.72661870503596	6.294964028776978
73.56115107913669	7.194244604316546
77.15827338129496	7.913669064748201
77.33812949640287	8.093525179856115
77.6978417266187	8.093525179856115
78.9568345323741	8.093525179856115
